codigo_turma,codigo,nome,professor,credito,vagas,inscritos,status,horario_sala,extra
"ACN1005, PROJETO FINAL, 1DA",ACN1005,PROJETO FINAL,SARA FAGUNDES SOARES DE OLIVEIRA,1DA,I,SEX 13-15 L148,2,0,0
"ACN1020, TOP ESP EM ARTES CENICAS, 1DA",ACN1020,TOP ESP EM ARTES CENICAS,SARA FAGUNDES SOARES DE OLIVEIRA,1DA,I,SEX 09-13 LAC,0,0,0
"ACN1023, LEITOR,ESPECTADOR/OBRA DE ARTE, 1DA",ACN1023,"LEITOR,ESPECTADOR/OBRA DE ARTE",SARA FAGUNDES SOARES DE OLIVEIRA,1DA,I,TER 11-13 L148  QUI 11-13 L114,0,0,0
"ACN1029, TOP ESP EM ARTES CENICAS, 1DA",ACN1029,TOP ESP EM ARTES CENICAS,FERNANDA COUTINHO BOND,1DA,I,SEG 13-15 LAC  QUA 13-15 LAC,0,0,0
"ACN1034, TOP ESP EM ARTES CENICAS, 1DA",ACN1034,TOP ESP EM ARTES CENICAS,ANA MARIA BARCELLOS KFOURI,1DA,I,TER 09-13 LAC,0,0,0
"ACN1100, PROJETO - TEXTO, 1DA",ACN1100,PROJETO - TEXTO,PEDRO MOURTHE KOSOVSKI,1DA,I,SEG 15-19 LAC  QUA 15-19 LAC,0,0,0
"ACN1102, PROJETO - SOM, 1DA",ACN1102,PROJETO - SOM,DANIEL FERNANDES CASTANHEIRA,1DA,I,TER 13-17 LAC  QUI 13-17 LAC,0,0,0
"ACN1104, PROJETO - CENA, 1DA",ACN1104,PROJETO - CENA,FERNANDA COUTINHO BOND,1DA,I,SEG 09-13 LAC  QUA 09-13 LAC,0,0,0
"ADM1000, COMO FUNCIONA UM NEGOCIO, 22A",ADM1000,COMO FUNCIONA UM NEGOCIO,MARCO AURELIO DE SA RIBEIRO,22A,I,TER 13-15 L516  QUI 13-15 L516,0,0,0
"ADM1000, COMO FUNCIONA UM NEGOCIO, 2GA",ADM1000,COMO FUNCIONA UM NEGOCIO,MARIA ISABEL PEIXOTO GUIMARAES,2GA,I,TER 11-13 I004  QUI 11-13 I004,0,0,0
"ADM1000, COMO FUNCIONA UM NEGOCIO, 2GB",ADM1000,COMO FUNCIONA UM NEGOCIO,FERNANDO CARLOS RODRIGUES CORTEZI,2GB,I,TER 09-11 I004  QUI 09-11 I004,0,0,0
"ADM1000, COMO FUNCIONA UM NEGOCIO, 2GC",ADM1000,COMO FUNCIONA UM NEGOCIO,MARIA ISABEL PEIXOTO GUIMARAES,2GC,I,SEG 17-19 I004  QUA 17-19 I004,0,0,0
"ADM1001, INTEGRADORA PA I, 2GA",ADM1001,INTEGRADORA PA I,FERNANDO CARLOS RODRIGUES CORTEZI,2GA,I,TER 07-09 I004  QUI 07-09 I004,0,1,0
"ADM1001, INTEGRADORA PA I, 2GB",ADM1001,INTEGRADORA PA I,MILA LIMA DESOUZART,2GB,I,TER 11-13 I001  QUI 11-13 I001,0,1,0
"ADM1001, INTEGRADORA PA I, 2GC",ADM1001,INTEGRADORA PA I,JOAO RENATO DE SOUZA COELHO BENAZZI,2GC,I,TER 19-21 L410  QUI 19-21 L410,0,1,0
"ADM1011, OFICINA GESTÃO DA APRENDIZAGEM, 2GA",ADM1011,OFICINA GESTÃO DA APRENDIZAGEM,MARIA ISABEL PEIXOTO GUIMARAES,2GA,I,SEX 09-11 I004,0,0,0
"ADM1011, OFICINA GESTÃO DA APRENDIZAGEM, 2GB",ADM1011,OFICINA GESTÃO DA APRENDIZAGEM,MARIA ISABEL PEIXOTO GUIMARAES,2GB,I,SEX 11-13 I004,0,0,0
"ADM1011, OFICINA GESTÃO DA APRENDIZAGEM, 2GC",ADM1011,OFICINA GESTÃO DA APRENDIZAGEM,MARCELO FERNANDEZ PINEIRO,2GC,I,QUI 21-23 I006,0,0,0
"ADM1013, MENTORIA EM FINANCAS, 2GA",ADM1013,MENTORIA EM FINANCAS,SHEILA DE BARCELLOS MAIA,2GA,I,GAVEA,0,1,0
"ADM1013, MENTORIA EM FINANCAS, 2GB",ADM1013,MENTORIA EM FINANCAS,ROBERTO GIL UCHOA BORGONGINO DE CARVALHO,2GB,I,GAVEA,0,1,0
"ADM1013, MENTORIA EM FINANCAS, 2GC",ADM1013,MENTORIA EM FINANCAS,LIANA RIBEIRO DOS SANTOS,2GC,I,GAVEA,0,1,0
"ADM1014, MENTORIA EM MARKETING, 2GA",ADM1014,MENTORIA EM MARKETING,ANDRE LUIZ ROIZMAN,2GA,I,GAVEA,0,1,0
"ADM1014, MENTORIA EM MARKETING, 2GB",ADM1014,MENTORIA EM MARKETING,KARINE DE ALMEIDA KARAM,2GB,I,GAVEA,0,1,0
"ADM1014, MENTORIA EM MARKETING, 2GC",ADM1014,MENTORIA EM MARKETING,KARINE DE ALMEIDA KARAM,2GC,I,GAVEA,0,1,0
"ADM1016, BLOCKCHAIN E FINANCAS DIGITAIS, 2GA",ADM1016,BLOCKCHAIN E FINANCAS DIGITAIS,NAIELLY LOPES MARQUES,2GA,I,SEG 17-19 I005  QUA 17-19 I005,0,0,0
"ADM1019, INTRODUCAO A FINANCAS, 2WA",ADM1019,INTRODUCAO A FINANCAS,RICARDO NOLLA RUIZ,2WA,I,TER 13-15 L504  QUI 13-15 L504,0,0,0
"ADM1030, FUNDAMENTOS QUANT NEGÓCIOS I, 2GA",ADM1030,FUNDAMENTOS QUANT NEGÓCIOS I,ELIANA GIAMBIAGI,2GA,I,TER 09-11 I007  QUI 09-11 I007,0,0,0
"ADM1030, FUNDAMENTOS QUANT NEGÓCIOS I, 2GB",ADM1030,FUNDAMENTOS QUANT NEGÓCIOS I,GLACIR DE OLIVEIRA GALIMBERTI ZAPATA,2GB,I,TER 11-13 I007  QUI 11-13 I007,0,0,0
"ADM1030, FUNDAMENTOS QUANT NEGÓCIOS I, 2GC",ADM1030,FUNDAMENTOS QUANT NEGÓCIOS I,ELIANA GIAMBIAGI,2GC,I,TER 19-21 I007  QUI 19-21 I007,0,0,0
